Requirement,Chapter,Sequence,SRS,Wave,Acceptance Test,Test Commit SHA,CI Workflow,CI Run Number,Immutable CI Run ID,Engineering Result,Engineering Status,Downstream Status,CI Job ID,Source
"REQ-46405","464","5","SRS-FR-2333","W02","eper/tests/requirement-acceptance-wave-02.test.mjs","fdf2b58691639518ea6cc5cc4af6b99aba1f5741","CI","54","35954851610","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46406","464","6","SRS-FR-2334","W02","eper/tests/requirement-acceptance-wave-02.test.mjs","fdf2b58691639518ea6cc5cc4af6b99aba1f5741","CI","54","35954851610","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46501","465","1","SRS-FR-2335","W03","eper/tests/requirement-acceptance-wave-03.test.mjs","3aeb008aea1f70aee40492470123d6b0110611cf","CI","56","35954958041","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46502","465","2","SRS-FR-2336","W03","eper/tests/requirement-acceptance-wave-03.test.mjs","3aeb008aea1f70aee40492470123d6b0110611cf","CI","56","35954958041","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46503","465","3","SRS-FR-2337","W03","eper/tests/requirement-acceptance-wave-03.test.mjs","3aeb008aea1f70aee40492470123d6b0110611cf","CI","56","35954958041","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46504","465","4","SRS-FR-2338","W03","eper/tests/requirement-acceptance-wave-03.test.mjs","3aeb008aea1f70aee40492470123d6b0110611cf","CI","56","35954958041","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46505","465","5","SRS-FR-2339","W03","eper/tests/requirement-acceptance-wave-03.test.mjs","3aeb008aea1f70aee40492470123d6b0110611cf","CI","56","35954958041","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46506","465","6","SRS-FR-2340","W03","eper/tests/requirement-acceptance-wave-03.test.mjs","3aeb008aea1f70aee40492470123d6b0110611cf","CI","56","35954958041","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46601","466","1","SRS-FR-2341","W04","eper/tests/requirement-acceptance-wave-04.test.mjs","5fe21046e4ecc8fb954838fdb08ef38612cdd62b","CI","58","35955195883","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46602","466","2","SRS-FR-2342","W04","eper/tests/requirement-acceptance-wave-04.test.mjs","5fe21046e4ecc8fb954838fdb08ef38612cdd62b","CI","58","35955195883","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46603","466","3","SRS-FR-2343","W04","eper/tests/requirement-acceptance-wave-04.test.mjs","5fe21046e4ecc8fb954838fdb08ef38612cdd62b","CI","58","35955195883","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46604","466","4","SRS-FR-2344","W04","eper/tests/requirement-acceptance-wave-04.test.mjs","5fe21046e4ecc8fb954838fdb08ef38612cdd62b","CI","58","35955195883","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46605","466","5","SRS-FR-2345","W04","eper/tests/requirement-acceptance-wave-04.test.mjs","5fe21046e4ecc8fb954838fdb08ef38612cdd62b","CI","58","35955195883","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46606","466","6","SRS-FR-2346","W04","eper/tests/requirement-acceptance-wave-04.test.mjs","5fe21046e4ecc8fb954838fdb08ef38612cdd62b","CI","58","35955195883","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46701","467","1","SRS-FR-2347","W05","eper/tests/requirement-acceptance-wave-05.test.mjs","77394454990b73bc357cb5bb567d4406d0e8aa01","CI","60","36091992046","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46702","467","2","SRS-FR-2348","W05","eper/tests/requirement-acceptance-wave-05.test.mjs","77394454990b73bc357cb5bb567d4406d0e8aa01","CI","60","36091992046","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46703","467","3","SRS-FR-2349","W05","eper/tests/requirement-acceptance-wave-05.test.mjs","77394454990b73bc357cb5bb567d4406d0e8aa01","CI","60","36091992046","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46704","467","4","SRS-FR-2350","W05","eper/tests/requirement-acceptance-wave-05.test.mjs","77394454990b73bc357cb5bb567d4406d0e8aa01","CI","60","36091992046","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46705","467","5","SRS-FR-2351","W05","eper/tests/requirement-acceptance-wave-05.test.mjs","77394454990b73bc357cb5bb567d4406d0e8aa01","CI","60","36091992046","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46706","467","6","SRS-FR-2352","W05","eper/tests/requirement-acceptance-wave-05.test.mjs","77394454990b73bc357cb5bb567d4406d0e8aa01","CI","60","36091992046","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46801","468","1","SRS-FR-2353","W06","eper/tests/requirement-acceptance-wave-06.test.mjs","78d0d68795d8025a0fc3c405db683cb628b68d30","CI","62","36092060922","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46802","468","2","SRS-FR-2354","W06","eper/tests/requirement-acceptance-wave-06.test.mjs","78d0d68795d8025a0fc3c405db683cb628b68d30","CI","62","36092060922","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46803","468","3","SRS-FR-2355","W06","eper/tests/requirement-acceptance-wave-06.test.mjs","78d0d68795d8025a0fc3c405db683cb628b68d30","CI","62","36092060922","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46804","468","4","SRS-FR-2356","W06","eper/tests/requirement-acceptance-wave-06.test.mjs","78d0d68795d8025a0fc3c405db683cb628b68d30","CI","62","36092060922","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46805","468","5","SRS-FR-2357","W06","eper/tests/requirement-acceptance-wave-06.test.mjs","78d0d68795d8025a0fc3c405db683cb628b68d30","CI","62","36092060922","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46806","468","6","SRS-FR-2358","W06","eper/tests/requirement-acceptance-wave-06.test.mjs","78d0d68795d8025a0fc3c405db683cb628b68d30","CI","62","36092060922","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46901","469","1","SRS-FR-2359","W07","eper/tests/requirement-acceptance-wave-07.test.mjs","21199d1db792a4084c84fc8b877a7d4d402df823","CI","64","36092160731","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46902","469","2","SRS-FR-2360","W07","eper/tests/requirement-acceptance-wave-07.test.mjs","21199d1db792a4084c84fc8b877a7d4d402df823","CI","64","36092160731","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46903","469","3","SRS-FR-2361","W07","eper/tests/requirement-acceptance-wave-07.test.mjs","21199d1db792a4084c84fc8b877a7d4d402df823","CI","64","36092160731","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46904","469","4","SRS-FR-2362","W07","eper/tests/requirement-acceptance-wave-07.test.mjs","21199d1db792a4084c84fc8b877a7d4d402df823","CI","64","36092160731","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46905","469","5","SRS-FR-2363","W07","eper/tests/requirement-acceptance-wave-07.test.mjs","21199d1db792a4084c84fc8b877a7d4d402df823","CI","64","36092160731","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-46906","469","6","SRS-FR-2364","W07","eper/tests/requirement-acceptance-wave-07.test.mjs","21199d1db792a4084c84fc8b877a7d4d402df823","CI","64","36092160731","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47001","470","1","SRS-FR-2365","W08","eper/tests/requirement-acceptance-wave-08.test.mjs","79815bca4a183d95e3b2292a8d48397d5e808217","CI","66","36092249093","PASS","ENGINEERING_PASS","107936936923","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47002","470","2","SRS-FR-2366","W08","eper/tests/requirement-acceptance-wave-08.test.mjs","79815bca4a183d95e3b2292a8d48397d5e808217","CI","66","36092249093","PASS","ENGINEERING_PASS","107936936923","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47003","470","3","SRS-FR-2367","W08","eper/tests/requirement-acceptance-wave-08.test.mjs","79815bca4a183d95e3b2292a8d48397d5e808217","CI","66","36092249093","PASS","ENGINEERING_PASS","107936936923","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47004","470","4","SRS-FR-2368","W08","eper/tests/requirement-acceptance-wave-08.test.mjs","79815bca4a183d95e3b2292a8d48397d5e808217","CI","66","36092249093","PASS","ENGINEERING_PASS","107936936923","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47005","470","5","SRS-FR-2369","W08","eper/tests/requirement-acceptance-wave-08.test.mjs","79815bca4a183d95e3b2292a8d48397d5e808217","CI","66","36092249093","PASS","ENGINEERING_PASS","107936936923","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47006","470","6","SRS-FR-2370","W08","eper/tests/requirement-acceptance-wave-08.test.mjs","79815bca4a183d95e3b2292a8d48397d5e808217","CI","66","36092249093","PASS","ENGINEERING_PASS","107936936923","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47101","471","1","SRS-FR-2371","W09","eper/tests/requirement-acceptance-wave-09.test.mjs","7b4e247b1d9554d64e42a030ad4930f6dc799ca3","CI","68","36092326479","PASS","ENGINEERING_PASS","107937160276","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47102","471","2","SRS-FR-2372","W09","eper/tests/requirement-acceptance-wave-09.test.mjs","7b4e247b1d9554d64e42a030ad4930f6dc799ca3","CI","68","36092326479","PASS","ENGINEERING_PASS","107937160276","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47103","471","3","SRS-FR-2373","W09","eper/tests/requirement-acceptance-wave-09.test.mjs","7b4e247b1d9554d64e42a030ad4930f6dc799ca3","CI","68","36092326479","PASS","ENGINEERING_PASS","107937160276","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47104","471","4","SRS-FR-2374","W09","eper/tests/requirement-acceptance-wave-09.test.mjs","7b4e247b1d9554d64e42a030ad4930f6dc799ca3","CI","68","36092326479","PASS","ENGINEERING_PASS","107937160276","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47105","471","5","SRS-FR-2375","W09","eper/tests/requirement-acceptance-wave-09.test.mjs","7b4e247b1d9554d64e42a030ad4930f6dc799ca3","CI","68","36092326479","PASS","ENGINEERING_PASS","107937160276","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47106","471","6","SRS-FR-2376","W09","eper/tests/requirement-acceptance-wave-09.test.mjs","7b4e247b1d9554d64e42a030ad4930f6dc799ca3","CI","68","36092326479","PASS","ENGINEERING_PASS","107937160276","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47201","472","1","SRS-FR-2377","W10","eper/tests/requirement-acceptance-wave-10.test.mjs","5a01c29deeffc61d5f83c3574bde21aa4c02ac3f","CI","69","36092381181","PASS","ENGINEERING_PASS","107937324363","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47202","472","2","SRS-FR-2378","W10","eper/tests/requirement-acceptance-wave-10.test.mjs","5a01c29deeffc61d5f83c3574bde21aa4c02ac3f","CI","69","36092381181","PASS","ENGINEERING_PASS","107937324363","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47203","472","3","SRS-FR-2379","W10","eper/tests/requirement-acceptance-wave-10.test.mjs","5a01c29deeffc61d5f83c3574bde21aa4c02ac3f","CI","69","36092381181","PASS","ENGINEERING_PASS","107937324363","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47204","472","4","SRS-FR-2380","W10","eper/tests/requirement-acceptance-wave-10.test.mjs","5a01c29deeffc61d5f83c3574bde21aa4c02ac3f","CI","69","36092381181","PASS","ENGINEERING_PASS","107937324363","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47205","472","5","SRS-FR-2381","W10","eper/tests/requirement-acceptance-wave-10.test.mjs","5a01c29deeffc61d5f83c3574bde21aa4c02ac3f","CI","69","36092381181","PASS","ENGINEERING_PASS","107937324363","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47206","472","6","SRS-FR-2382","W10","eper/tests/requirement-acceptance-wave-10.test.mjs","5a01c29deeffc61d5f83c3574bde21aa4c02ac3f","CI","69","36092381181","PASS","ENGINEERING_PASS","107937324363","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47301","473","1","SRS-FR-2383","W11","eper/tests/requirement-acceptance-wave-11.test.mjs","8c3fa7d1f500d6be81950e174daa7e08b91dfa89","CI","71","36092456631","PASS","ENGINEERING_PASS","107937554001","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47302","473","2","SRS-FR-2384","W11","eper/tests/requirement-acceptance-wave-11.test.mjs","8c3fa7d1f500d6be81950e174daa7e08b91dfa89","CI","71","36092456631","PASS","ENGINEERING_PASS","107937554001","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47303","473","3","SRS-FR-2385","W11","eper/tests/requirement-acceptance-wave-11.test.mjs","8c3fa7d1f500d6be81950e174daa7e08b91dfa89","CI","71","36092456631","PASS","ENGINEERING_PASS","107937554001","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47304","473","4","SRS-FR-2386","W11","eper/tests/requirement-acceptance-wave-11.test.mjs","8c3fa7d1f500d6be81950e174daa7e08b91dfa89","CI","71","36092456631","PASS","ENGINEERING_PASS","107937554001","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47305","473","5","SRS-FR-2387","W11","eper/tests/requirement-acceptance-wave-11.test.mjs","8c3fa7d1f500d6be81950e174daa7e08b91dfa89","CI","71","36092456631","PASS","ENGINEERING_PASS","107937554001","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47306","473","6","SRS-FR-2388","W11","eper/tests/requirement-acceptance-wave-11.test.mjs","8c3fa7d1f500d6be81950e174daa7e08b91dfa89","CI","71","36092456631","PASS","ENGINEERING_PASS","107937554001","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47401","474","1","SRS-FR-2389","W12","eper/tests/requirement-acceptance-wave-12.test.mjs","a57ab91ec3da064b1c0dd5c28a94d18fbc22ed52","CI","73","36092506324","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47402","474","2","SRS-FR-2390","W12","eper/tests/requirement-acceptance-wave-12.test.mjs","a57ab91ec3da064b1c0dd5c28a94d18fbc22ed52","CI","73","36092506324","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47403","474","3","SRS-FR-2391","W12","eper/tests/requirement-acceptance-wave-12.test.mjs","a57ab91ec3da064b1c0dd5c28a94d18fbc22ed52","CI","73","36092506324","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47404","474","4","SRS-FR-2392","W12","eper/tests/requirement-acceptance-wave-12.test.mjs","a57ab91ec3da064b1c0dd5c28a94d18fbc22ed52","CI","73","36092506324","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47405","474","5","SRS-FR-2393","W12","eper/tests/requirement-acceptance-wave-12.test.mjs","a57ab91ec3da064b1c0dd5c28a94d18fbc22ed52","CI","73","36092506324","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47406","474","6","SRS-FR-2394","W12","eper/tests/requirement-acceptance-wave-12.test.mjs","a57ab91ec3da064b1c0dd5c28a94d18fbc22ed52","CI","73","36092506324","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47501","475","1","SRS-FR-2395","W13","eper/tests/requirement-acceptance-wave-13.test.mjs","d6dfd35964296e05d1726f64855d1e48efb8fbbf","CI","75","36092556593","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47502","475","2","SRS-FR-2396","W13","eper/tests/requirement-acceptance-wave-13.test.mjs","d6dfd35964296e05d1726f64855d1e48efb8fbbf","CI","75","36092556593","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47503","475","3","SRS-FR-2397","W13","eper/tests/requirement-acceptance-wave-13.test.mjs","d6dfd35964296e05d1726f64855d1e48efb8fbbf","CI","75","36092556593","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47504","475","4","SRS-FR-2398","W13","eper/tests/requirement-acceptance-wave-13.test.mjs","d6dfd35964296e05d1726f64855d1e48efb8fbbf","CI","75","36092556593","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47505","475","5","SRS-FR-2399","W13","eper/tests/requirement-acceptance-wave-13.test.mjs","d6dfd35964296e05d1726f64855d1e48efb8fbbf","CI","75","36092556593","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47506","475","6","SRS-FR-2400","W13","eper/tests/requirement-acceptance-wave-13.test.mjs","d6dfd35964296e05d1726f64855d1e48efb8fbbf","CI","75","36092556593","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47601","476","1","SRS-FR-2401","W14","eper/tests/requirement-acceptance-wave-14.test.mjs","2d33ecb3a738e96f1d6c925cfee0fe7e8facba66","CI","77","36092642593","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47602","476","2","SRS-FR-2402","W14","eper/tests/requirement-acceptance-wave-14.test.mjs","2d33ecb3a738e96f1d6c925cfee0fe7e8facba66","CI","77","36092642593","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47603","476","3","SRS-FR-2403","W14","eper/tests/requirement-acceptance-wave-14.test.mjs","2d33ecb3a738e96f1d6c925cfee0fe7e8facba66","CI","77","36092642593","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47604","476","4","SRS-FR-2404","W14","eper/tests/requirement-acceptance-wave-14.test.mjs","2d33ecb3a738e96f1d6c925cfee0fe7e8facba66","CI","77","36092642593","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47605","476","5","SRS-FR-2405","W14","eper/tests/requirement-acceptance-wave-14.test.mjs","2d33ecb3a738e96f1d6c925cfee0fe7e8facba66","CI","77","36092642593","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47606","476","6","SRS-FR-2406","W14","eper/tests/requirement-acceptance-wave-14.test.mjs","2d33ecb3a738e96f1d6c925cfee0fe7e8facba66","CI","77","36092642593","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47701","477","1","SRS-FR-2407","W15","eper/tests/requirement-acceptance-wave-15.test.mjs","3aedb4e89f7d73bff302673b5b00e2e5b09061c1","CI","78","36092696482","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47702","477","2","SRS-FR-2408","W15","eper/tests/requirement-acceptance-wave-15.test.mjs","3aedb4e89f7d73bff302673b5b00e2e5b09061c1","CI","78","36092696482","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47703","477","3","SRS-FR-2409","W15","eper/tests/requirement-acceptance-wave-15.test.mjs","3aedb4e89f7d73bff302673b5b00e2e5b09061c1","CI","78","36092696482","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47704","477","4","SRS-FR-2410","W15","eper/tests/requirement-acceptance-wave-15.test.mjs","3aedb4e89f7d73bff302673b5b00e2e5b09061c1","CI","78","36092696482","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47705","477","5","SRS-FR-2411","W15","eper/tests/requirement-acceptance-wave-15.test.mjs","3aedb4e89f7d73bff302673b5b00e2e5b09061c1","CI","78","36092696482","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47706","477","6","SRS-FR-2412","W15","eper/tests/requirement-acceptance-wave-15.test.mjs","3aedb4e89f7d73bff302673b5b00e2e5b09061c1","CI","78","36092696482","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47801","478","1","SRS-FR-2413","W16","eper/tests/requirement-acceptance-wave-16.test.mjs","e922d95c97c6cd64ded969aa997897b4cf530c50","CI","81","36092768073","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47802","478","2","SRS-FR-2414","W16","eper/tests/requirement-acceptance-wave-16.test.mjs","e922d95c97c6cd64ded969aa997897b4cf530c50","CI","81","36092768073","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47803","478","3","SRS-FR-2415","W16","eper/tests/requirement-acceptance-wave-16.test.mjs","e922d95c97c6cd64ded969aa997897b4cf530c50","CI","81","36092768073","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47804","478","4","SRS-FR-2416","W16","eper/tests/requirement-acceptance-wave-16.test.mjs","e922d95c97c6cd64ded969aa997897b4cf530c50","CI","81","36092768073","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47805","478","5","SRS-FR-2417","W16","eper/tests/requirement-acceptance-wave-16.test.mjs","e922d95c97c6cd64ded969aa997897b4cf530c50","CI","81","36092768073","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
"REQ-47806","478","6","SRS-FR-2418","W16","eper/tests/requirement-acceptance-wave-16.test.mjs","e922d95c97c6cd64ded969aa997897b4cf530c50","CI","81","36092768073","PASS","ENGINEERING_PASS","107936673046","DOWNSTREAM_PENDING","GitHub Actions exact head-SHA recovery"
